职工号,角色名,权限范围
19620045,学籍管理员,
19630011,研究生秘书（一级教学单位),0104_0106
19720034,研究生秘书（一级教学单位),0106
19740007,研究生秘书（一级教学单位),0110
19740060,研究生秘书（一级教学单位),0112
19760013,研究生秘书（一级教学单位),0113
19760020,研究生秘书（一级教学单位),0117
19760048,研究生秘书（一级教学单位),0122
19760094,研究生秘书（一级教学单位),0123
19760108,研究生秘书（一级教学单位),0124
19770004,研究生秘书（二级教学单位),010400
19770005,研究生秘书（二级教学单位),010401
19770013,研究生秘书（二级教学单位),010402
19770083,研究生秘书（二级教学单位),010403
19780021,研究生秘书（二级教学单位),010404
19780028,研究生秘书（二级教学单位),010405
19780108,研究生秘书（二级教学单位),010406
19780119,研究生秘书（二级教学单位),010407
19780128,研究生秘书（二级教学单位),010408
19780180,研究生秘书（二级教学单位),010409
19780200,分管领导（一级教学单位),0104
19790195,分管领导（一级教学单位),0106
19800031,分管领导（一级教学单位),0110
19800054,分管领导（一级教学单位),0112
19800055,分管领导（二级教学单位),010400
19810047,分管领导（二级教学单位),010401
19810056,分管领导（二级教学单位),010402
19810077,分管领导（二级教学单位),010403
